GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ApkToolBoxGUI,edu.jiangxin.apktoolbox.file.zhconvert,ZhConvertPanel,429,0,6,0,94,0,10,0,7,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.file.zhconvert,ZhConvertPanel.ConvertBtnActionListener,146,0,4,0,26,0,5,0,3,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.file.zhconvert,ZhConvertPanel.SaveBtnActionListener,50,0,4,0,10,0,4,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.file.zhconvert,ZHConverterUtils,187,0,14,0,55,0,14,0,7,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.LockPositionAction,11,0,0,0,3,0,2,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel.HexDocumentListener,51,0,2,0,18,0,6,0,5,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel,833,0,25,0,168,0,32,0,18,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel.HslChangeListener,52,0,2,0,11,0,3,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel.ColorDefaultTableModel,10,0,0,0,4,0,2,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.new TimerTask() {...},10,0,0,0,3,0,2,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel.CmykChangeListener,60,0,2,0,12,0,3,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel.RgbChangeListener,54,0,2,0,11,0,3,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorConvertPanel,1351,0,12,0,266,0,18,0,12,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorUtils,569,26,0,0,75,2,19,2,19,2
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.UnlockPositionAction,11,0,0,0,3,0,2,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.RecordColorAction,64,0,4,0,12,0,4,0,2,0
ApkToolBoxGUI,edu.jiangxin.apktoolbox.convert.color,ColorPickerPanel.ColorMode,27,0,0,0,2,0,1,0,1,0
